Section,Task Name,Description,Assignee,Due Date,Priority,Milestone,Dependencies,Status,Notes
Phase 1A — Field Hardening,Enable OverlayFS on Pi,sudo raspi-config → Advanced → Overlay FS. Verify / is read-only after reboot.,Kevin McAuley,2026-08-04,P0,M5,,Not Started,Do BEFORE outdoor deployment.
Phase 1A — Field Hardening,Create persistent /var/lib/spc20 partition,Create ext4 partition on SD card for /var/lib/spc20. Add to /etc/fstab. Verify data persists through OverlayFS reboot.,Kevin McAuley,2026-08-04,P0,M5,Enable OverlayFS on Pi,Not Started,
Phase 1A — Field Hardening,Enable hardware watchdog timer,dtparam=watchdog=on in config.txt. Install and configure watchdog daemon. Verify /dev/watchdog exists.,Kevin McAuley,2026-08-05,P0,M5,,Not Started,
Phase 1A — Field Hardening,Configure journald size limits,Set SystemMaxUse=100M RuntimeMaxUse=50M in journald.conf. Restart journald.,Kevin McAuley,2026-08-05,P1,M5,,Not Started,
Phase 1A — Field Hardening,Disable swap,sudo systemctl disable dphys-swapfile. Verify swapon -s is empty.,Kevin McAuley,2026-08-05,P1,M5,,Not Started,
Phase 1A — Field Hardening,Create and test NetworkManager AP profile,nmcli connection add type wifi mode ap ssid SPC-20-POC-0001. Test activation and dashboard access through AP.,Kevin McAuley,2026-08-06,P0,M5,,Not Started,
Phase 1A — Field Hardening,Write and test spc20-preflight.sh,Script checks DB integrity on boot. Add ExecStartPre to spc20-logger.service. Test with a simulated corrupt DB.,Kevin McAuley,2026-08-07,P1,M5,,Not Started,
Phase 1A — Field Hardening,Harden SSH (key-only no password),Set PasswordAuthentication no in sshd_config. Verify key access works before disabling password.,Kevin McAuley,2026-08-07,P1,M5,,Not Started,
Build 1B — Yard Hardware Conversion,Source outdoor enclosure and DIN hardware,Order/confirm receipt of NEMA 4X enclosure DIN rail terminal blocks fuse block cable glands.,Kevin McAuley,2026-08-08,P0,M6,,Not Started,
Build 1B — Yard Hardware Conversion,Mount DIN rail and terminal blocks in enclosure,Install rail TBs fuse block PSU. Leave room for Pi+HAT stack. Photo before and after.,Kevin McAuley,2026-08-10,P0,M6,Source outdoor enclosure and DIN hardware,Not Started,
Build 1B — Yard Hardware Conversion,Mount Pi+HAT in enclosure and wire 24V,Secure Pi/HAT stack. Wire PSU output to HAT power and fuse block. Verify 24V with DMM.,Kevin McAuley,2026-08-11,P0,M6,Mount DIN rail and terminal blocks in enclosure,Not Started,
Build 1B — Yard Hardware Conversion,Install pressure transmitters on yard rig,Tap into yard rig pipe at P1/P2/P3 positions. Install isolation valves. Wire to terminal blocks.,Kevin McAuley,2026-08-12,P0,M6,,Not Started,
Build 1B — Yard Hardware Conversion,Install flow transmitter,Clamp-on or insertion flow meter at yard rig discharge. Wire to AI-4. Verify signal at 4 mA when no flow.,Kevin McAuley,2026-08-12,P0,M6,,Not Started,
Build 1B — Yard Hardware Conversion,Complete grounding and isolation checklist,Follow docs/grounding_and_isolation_checklist.md. All items checked. < 1 Ω chassis ground.,Kevin McAuley,2026-08-13,P0,M6,,Not Started,
Build 1B — Yard Hardware Conversion,Seal enclosure and label all cables,Tighten cable glands. Apply heat-shrink labels to all terminals and wire ends.,Kevin McAuley,2026-08-14,P0,M6,,Not Started,
Build 1B — Yard Data Trial,Run ambient_zero calibration at yard,With transmitters isolated run ambient_zero on all channels. Verify against yard rig reference gauge.,Kevin McAuley,2026-08-15,P0,M7,,Not Started,
Build 1B — Yard Data Trial,Verify readings vs. calibrated reference gauge,Inject known pressure from calibrated gauge. Compare to P2 reading in /api/status. Must be within ±1 PSI.,Kevin McAuley,2026-08-15,P0,M7,Run ambient_zero calibration at yard,Not Started,
Build 1B — Yard Data Trial,Execute all yard test scenarios,Run each scenario from docs/yard_trial_plan.md. Record results in yard trial log.,Kevin McAuley,2026-08-15,P0,M7,,Not Started,
Build 1B — Yard Data Trial,Test AP fallback and recovery,Disconnect site Wi-Fi from router. Confirm AP appears. Reconnect and confirm device reverts.,Kevin McAuley,2026-08-16,P0,M7,,Not Started,
Build 1B — Yard Data Trial,Run 48-hour continuous unattended run,Leave device running for 48 hours. Check /api/health and journalctl at end. DB integrity_check = ok.,Kevin McAuley,2026-08-20,P0,M7,,Not Started,
Build 1B — Yard Data Trial,Power cycle test at yard,Hard power cut + restore. Verify restart < 2 min DB intact heuristics active.,Kevin McAuley,2026-08-21,P0,M7,,Not Started,
Build 1B — Yard Validation Gate,Complete and sign Gate 2 checklist,Fill in docs/phase_gate_signoff.md Gate 2. All items Pass. Sign off.,Kevin McAuley,2026-08-25,P0,M8,Run 48-hour continuous unattended run,Not Started,
Build 1B — Yard Validation Gate,Create trial_runs row for Yard phase,INSERT trial_run with trial_phase=YARD.,Kevin McAuley,2026-08-15,P1,M8,,Not Started,
Build 1B — Yard Validation Gate,Create trial_runs END record for Yard phase,UPDATE trial_runs SET ended_at = now() WHERE trial_run_id = 'yard-run-001'.,Kevin McAuley,2026-08-25,P1,M8,Complete and sign Gate 2 checklist,Not Started,
Build 1C — Field Site Survey,Conduct site survey at customer pool,Walk the pump room. Document: panel location conduit routing sensor tap positions network access point. Photos required.,Kevin McAuley,2026-09-01,P0,M9,,Not Started,
Build 1C — Field Site Survey,Confirm customer sign-off on install location,Customer signs site approval form. File signed copy in project folder.,Kevin McAuley,2026-09-03,P0,M9,Conduct site survey at customer pool,Not Started,
Build 1C — Field Site Survey,Confirm network firewall rules,Test curl from a laptop at site: curl -I ${SUPABASE_INGEST_URL}. Must succeed on port 443.,Kevin McAuley,2026-09-02,P0,M9,,Not Started,
Build 1C — Field Site Survey,Confirm static IP or DHCP reservation,Work with site IT or router admin. Document the reserved IP. Test from device after reservation.,Kevin McAuley,2026-09-03,P1,M9,,Not Started,
Build 1C — Field Site Survey,Confirm UPS sizing and sourcing,Measure site power outage history. Size UPS for ≥ 30 min runtime. Order if not already procured.,Kevin McAuley,2026-09-02,P1,M9,,Not Started,
Build 1C — Field Install,Install conduit and cable tray,Route conduit from sensor taps to enclosure location. Follow site electrical codes. Photo at each step.,Kevin McAuley,2026-09-08,P0,M10,,Not Started,
Build 1C — Field Install,Drill and tap pressure sensor ports,Install 1/4 NPT taps at P1/P2/P3 locations. Install isolation valves. Pressure-test before transmitter install.,Kevin McAuley,2026-09-09,P0,M10,Install conduit and cable tray,Not Started,
Build 1C — Field Install,Install and wire all transmitters,Mount transmitters. Wire to conduit and into enclosure terminal blocks. Label all wires.,Kevin McAuley,2026-09-10,P0,M10,,Not Started,
Build 1C — Field Install,Configure device for site network,Set site-wifi NM profile. Set SITE_ID in .env. Verify DHCP reservation works.,Kevin McAuley,2026-09-11,P0,M10,,Not Started,
Build 1C — Field Install,Run ambient_zero at field site,Calibrate all channels at field site. Readings reflect field static head. Compare to yard offsets.,Kevin McAuley,2026-09-11,P0,M10,,Not Started,
Build 1C — Field Install,Verify first reading in Supabase,Confirm readings_1min row with correct site_id and device_id within 2 minutes of service start.,Kevin McAuley,2026-09-12,P0,M10,Run ambient_zero at field site,Not Started,
Build 1C — Field Install,Complete and sign Gate 3 checklist,Fill in docs/phase_gate_signoff.md Gate 3. All items Pass. Sign off.,Kevin McAuley,2026-09-12,P0,M10,Verify first reading in Supabase,Not Started,
Build 1C — Field Trial,Daily check-in: review /api/status and Supabase data,Each morning review dispatch status and upload queue depth for field device. Log any anomalies.,Kevin McAuley,2026-09-30,P0,M11,,Recurring — daily for 14 days,
Build 1C — Field Trial,Weekly dispatch accuracy comparison (Week 1),Compare SPC 2.0 dispatch_status for each day to technician ground-truth visit notes.,Kevin McAuley,2026-09-19,P0,M11,,Not Started,
Build 1C — Field Trial,Weekly dispatch accuracy comparison (Week 2),Second week comparison. Calculate overall accuracy percentage.,Kevin McAuley,2026-09-26,P0,M11,Weekly dispatch accuracy comparison (Week 1),Not Started,
Build 1C — Field Trial,Monitor upload queue and data gaps,Check daily that pending queue is draining and no gaps > 5 minutes in readings_1min.,Kevin McAuley,2026-09-30,P1,M11,,Not Started,
Build 1C — Field Trial,Mid-trial check-in with customer,Two-minute call or site visit to confirm customer has no concerns. Log feedback.,Kevin McAuley,2026-09-22,P1,M11,,Not Started,
Build 1C — Field Review and Build 2 Decision,Compile field trial data report,Export readings_1min for trial period. Calculate uptime data gaps dispatch accuracy.,Kevin McAuley,2026-10-05,P0,M12,,Not Started,
Build 1C — Field Review and Build 2 Decision,Interview field technician for feedback,30-minute structured interview on accuracy usefulness and false alarms.,Kevin McAuley,2026-10-07,P0,M12,,Not Started,
Build 1C — Field Review and Build 2 Decision,Interview site manager for feedback,Site manager perspective on install disruption and value of monitoring.,Kevin McAuley,2026-10-07,P1,M12,,Not Started,
Build 1C — Field Review and Build 2 Decision,Document known issues and bug list,List all bugs anomalies and improvement opportunities found during all three phases.,Kevin McAuley,2026-10-08,P0,M12,,Not Started,
Build 1C — Field Review and Build 2 Decision,Write Build 2 decision document,Summarize trial outcomes. Recommend: Proceed to Build 2 / Repeat 1C / Hold. Include ADR.,Kevin McAuley,2026-10-14,P0,M12,Compile field trial data report,Not Started,
Build 1C — Field Review and Build 2 Decision,Present Build 2 decision to stakeholders,Present findings and recommendation to Poolsure leadership. Get decision in writing.,Kevin McAuley,2026-10-15,P0,M12,Write Build 2 decision document,Not Started,
